Total Experience,Team Lead Experience,Project Manager Experience,Certifications,Salary
11,7,1,2,95842.11135417334
6,5,0,3,80765.82619018991
1,0,0,4,59101.72006306228
9,7,0,4,92831.93717648143
1,0,0,4,57273.70456070567
5,2,2,3,69917.85178056214
4,1,0,4,65017.667082859516
13,12,0,0,111970.7028455983
12,1,2,4,88267.10826729881
13,8,3,1,107616.1291844211
13,6,1,3,95756.90850568126
14,3,0,1,96044.23126428948
3,2,0,4,63575.62253315165
13,7,4,0,105719.1012375231
6,3,0,2,73792.5127706461
2,0,1,4,58691.179000699354
3,2,0,0,65397.20759043032
5,4,0,3,78872.58537066261
9,2,4,1,82251.17386575867
2,0,0,1,50483.99572305428
10,9,0,1,93289.77793878448
8,2,2,3,79063.98539402537
14,1,11,0,103240.39341091746
2,0,0,3,53650.01966901271
11,9,1,1,96019.41667875052
13,8,2,4,106719.39586262906
5,0,1,2,67907.13310056986
7,1,0,3,77475.14732917782
8,2,5,3,81712.88473445839
1,0,0,0,50935.01088928283
6,5,0,0,73366.50845576344
1,0,0,3,54342.80414812612
2,0,0,1,52257.85682904593
1,0,0,2,56865.639066206
11,4,4,0,86070.66754032945
5,0,0,1,63701.85163773769
10,8,1,4,100505.53669595871
9,2,0,0,81919.17258161253
6,3,1,1,88965.16831990248
11,9,1,1,104249.00012283954
11,0,2,2,80979.72701578995
1,0,0,2,53522.678764554636
13,12,0,4,106118.76833266774
1,0,0,1,53097.001253516195
2,0,0,1,52334.71971499621
9,2,4,2,90576.95137780081
3,1,1,0,59252.29862702233
1,0,0,0,52416.170421023766
5,1,2,3,67322.21079297799
7,5,1,2,91694.25675926666
6,0,5,3,72893.78616941044
12,7,4,2,114162.78521739601
1,0,0,4,59070.75881059133
5,2,2,1,73910.33363667694
5,2,0,4,72843.6657365876
6,5,0,2,80968.98649108126
3,0,0,1,49861.63710327195
5,4,0,0,71605.58302924622
7,6,0,0,87225.78985592161
5,0,2,3,68255.51408262947
5,0,3,2,61974.05076598212
5,3,1,2,72737.97774711266
10,4,2,0,98520.52758127745
10,1,3,4,93234.45857767359
3,2,0,1,63189.979953169845
1,0,0,4,59757.24638529043
5,0,1,4,66167.46489815974
14,7,5,0,102480.6420658664
9,2,1,0,77377.67005935223
14,10,3,0,122814.44384254099
1,0,0,3,53130.03459085348
3,0,2,4,61783.08010312491
13,8,4,2,108500.8090186256
13,2,3,1,106020.68294786503
4,0,3,3,74629.79457681032
14,1,4,2,110093.90116724066
1,0,0,4,54204.77394799974
1,0,0,0,54478.122443735476
8,3,0,4,74416.78725289604
2,1,0,1,65884.67213059137
12,8,3,3,100661.10224366032
8,6,0,3,88583.87781881314
7,0,0,1,66013.48736183578
10,4,0,2,86055.66586630652
10,1,5,2,83813.6878447515
2,1,0,3,56460.62369662091
6,3,0,3,72804.38648425511
6,5,0,0,75258.65602537461
3,2,0,2,68166.66955890153
11,4,6,1,91975.6860346874
2,1,0,2,60102.70713506934
12,9,0,0,110089.79576152778
1,0,0,3,51934.01817743302
6,1,0,3,67910.40554626199
12,5,3,0,97847.37687409874
5,4,0,1,79398.62604180355
14,11,1,3,117470.5381547668
14,12,1,4,116343.928526962
11,4,4,3,98919.38325594019
9,0,4,4,77488.53925081788
1,0,0,0,56406.79755221474
7,1,5,0,80043.03653850884
5,4,0,3,72960.95764430558
5,4,0,2,69807.07100776385
14,2,7,4,100566.59538858272
2,1,0,1,61174.086681729554
11,2,1,3,95644.9025124453
3,1,0,1,58313.46126485603
7,2,3,3,81791.93351775742
6,4,0,2,66564.86490698965
12,0,9,2,93076.911346714
2,1,0,2,58844.70533564549
6,2,2,2,70451.58291509084
2,1,0,0,53317.46812605202
2,1,0,0,54661.10221765557
2,1,0,4,61460.96364163187
14,0,5,1,96563.35490796813
11,10,0,3,93308.84383337514
3,2,0,3,53896.49923682467
2,1,0,0,54965.67411071412
4,0,1,3,66788.43293026777
9,8,0,0,79262.47578637383
6,4,1,4,76501.34911924184
1,0,0,1,50868.76071741289
8,1,6,4,90941.68889104224
12,3,1,2,92074.89094143567
14,10,1,2,115914.94492370464
7,5,0,2,82706.28570043732
10,6,2,4,85347.16760096399
